"Fact","Fact Note","Alaska","Value Note for Alaska","Alabama","Value Note for Alabama","Arkansas","Value Note for Arkansas","Arizona","Value Note for Arizona","California","Value Note for California","Colorado","Value Note for Colorado"
"Population estimates, July 1, 2023, (V2023)","","733,406","","5,108,468","","3,067,732","","7,431,344","","38,965,193","","5,877,610",""
"Population estimates base, April 1, 2020, (V2023)","","733,374","","5,024,294","","3,011,490","","7,157,902","","39,538,212","","5,773,707",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","Z","","1.7%","","1.9%","","3.8%","","-1.4%","","1.8%",""
"Population, Census, April 1, 2020","","733,391","","5,024,279","","3,011,524","","7,151,502","","39,538,223","","5,773,714",""
"Population, Census, April 1, 2010","","710,231","","4,779,736","","2,915,918","","6,392,017","","37,253,956","","5,029,196",""
"Persons under 5 years, percent","","6.3%","","5.7%","","5.9%","","5.3%","","5.4%","","5.3%",""
"Persons under 18 years, percent","","23.9%","","22.1%","","23.0%","","21.3%","","21.7%","","20.7%",""
"Persons 65 years and over, percent","","14.4%","","18.3%","","18.0%","","19.3%","","16.2%","","16.0%",""
"Female persons, percent","","47.5%","","51.5%","","50.7%","","50.1%","","50.1%","","49.4%",""
"White alone, percent","","64.2%","","68.9%","","78.4%","","81.5%","","70.4%","","86.0%",""
"Black or African American alone, percent","(a)","3.7%","","26.6%","","15.6%","","5.7%","","6.5%","","4.8%",""
"American Indian and Alaska Native alone, percent","(a)","15.6%","","0.7%","","1.1%","","5.2%","","1.7%","","1.7%",""
"Asian alone, percent","(a)","6.8%","","1.6%","","1.9%","","4.1%","","16.5%","","3.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","1.7%","","0.1%","","0.5%","","0.3%","","0.5%","","0.2%",""
"Two or More Races, percent","","8.1%","","2.0%","","2.5%","","3.3%","","4.3%","","3.5%",""
"Hispanic or Latino, percent","(b)","7.5%","","5.7%","","9.2%","","31.6%","","40.4%","","22.7%",""
"White alone, not Hispanic or Latino, percent","","59.0%","","64.1%","","70.2%","","53.4%","","34.3%","","66.1%",""
"Veterans, 2018-2022","","61,251","","316,473","","182,399","","468,568","","1,415,562","","357,465",""
"Foreign born persons, percent, 2018-2022","","7.9%","","3.5%","","5.0%","","13.0%","","26.5%","","9.5%",""
"Housing Units, July 1, 2023, (V2023)","","329,699","","2,360,135","","1,409,134","","3,239,581","","14,763,237","","2,638,724",""
"Owner-occupied housing unit rate, 2018-2022","","66.3%","","69.7%","","66.2%","","66.3%","","55.6%","","66.2%",""
"Median value of owner-occupied housing units, 2018-2022","","$318,000","","$179,400","","$162,400","","$321,400","","$659,300","","$465,900",""
"Median selected monthly owner costs -with a mortgage, 2018-2022","","$2,130","","$1,343","","$1,240","","$1,665","","$2,759","","$2,109",""
"Median selected monthly owner costs -without a mortgage, 2018-2022","","$652","","$414","","$406","","$481","","$732","","$578",""
"Median gross rent, 2018-2022","","$1,345","","$925","","$868","","$1,308","","$1,856","","$1,594",""
"Building Permits, 2023","","937","","20,337","","12,842","","58,433","","111,760","","39,404",""
"Households, 2018-2022","","264,376","","1,933,150","","1,171,694","","2,739,136","","13,315,822","","2,278,044",""
"Persons per household, 2018-2022","","2.67","","2.53","","2.51","","2.56","","2.89","","2.48",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2018-2022","","84.6%","","87.3%","","86.3%","","84.6%","","88.4%","","82.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2018-2022","","15.7%","","5.4%","","7.8%","","26.4%","","43.9%","","16.2%",""
"Households with a computer, percent, 2018-2022","","96.1%","","91.1%","","91.3%","","95.2%","","95.9%","","96.2%",""
"Households with a broadband Internet subscription, percent, 2018-2022","","89.4%","","83.8%","","82.4%","","89.2%","","91.5%","","91.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2018-2022","","93.5%","","87.7%","","88.2%","","88.7%","","84.4%","","92.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2018-2022","","30.7%","","27.2%","","24.7%","","31.8%","","35.9%","","43.7%",""
"With a disability, under age 65 years, percent, 2018-2022","","9.1%","","11.6%","","12.9%","","9.1%","","7.1%","","7.7%",""
"Persons without health insurance, under age 65 years, percent","","12.6%","","10.6%","","10.1%","","12.5%","","7.5%","","8.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2018-2022","","63.1%","","57.6%","","57.9%","","60.1%","","63.3%","","67.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2018-2022","","61.5%","","52.8%","","53.7%","","55.4%","","57.8%","","63.1%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","2,536,527","","10,527,667","","5,484,783","","19,848,687","","133,716,870","","19,455,751",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","7,856,206","","31,238,872","","19,845,377","","48,130,089","","311,312,156","","40,055,755",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","5,609,025","","8,990,180","","8,011,461","","14,565,768","","99,160,737","","15,882,039",""
"Total retail sales, 2017 ($1,000)","(c)","10,384,771","","63,740,433","","40,174,079","","104,365,600","","594,861,377","","84,930,644",""
"Total retail sales per capita, 2017","(c)","$14,015","","$13,067","","$13,374","","$14,808","","$15,122","","$15,119",""
"Mean travel time to work (minutes), workers age 16 years+, 2018-2022","","19.3","","25.3","","22.2","","25.5","","29.2","","25.6",""
"Median household income (in 2022 dollars), 2018-2022","","$86,370","","$59,609","","$56,335","","$72,581","","$91,905","","$87,598",""
"Per capita income in past 12 months (in 2022 dollars), 2018-2022","","$42,828","","$33,344","","$31,868","","$38,334","","$45,591","","$47,346",""
"Persons in poverty, percent","","11.0%","","16.2%","","16.8%","","12.5%","","12.2%","","9.4%",""
"Total employer establishments, 2022","","22,082","","105,071","","69,634","","159,857","","1,023,181","","181,963",""
"Total employment, 2022","","257,462","","1,777,657","","1,089,044","","2,787,701","","16,032,440","","2,481,196",""
"Total annual payroll, 2022 ($1,000)","","17,816,330","","94,186,727","","56,607,098","","162,647,099","","1,361,755,461","","169,057,790",""
"Total employment, percent change, 2021-2022","","2.5%","","3.4%","","5.8%","","7.2%","","8.1%","","2.7%",""
"Total nonemployer establishments, 2021","","58,990","","374,390","","230,297","","560,539","","3,426,315","","569,521",""
"All employer firms, Reference year 2017","","16,193","","68,829","","47,903","","106,063","","742,139","","134,869",""
"Men-owned employer firms, Reference year 2017","","8,250","","42,941","","26,855","","55,441","","435,455","","76,705",""
"Women-owned employer firms, Reference year 2017","","3,506","","12,169","","7,874","","20,736","","150,552","","29,438",""
"Minority-owned employer firms, Reference year 2017","","1,870","","7,043","","3,484","","15,282","","237,419","","13,291",""
"Nonminority-owned employer firms, Reference year 2017","","12,241","","56,066","","40,191","","80,861","","449,317","","111,061",""
"Veteran-owned employer firms, Reference year 2017","","1,331","","5,534","","3,542","","6,329","","34,619","","8,858",""
"Nonveteran-owned employer firms, Reference year 2017","","12,469","","56,032","","38,362","","88,512","","655,275","","114,621",""
"Population per square mile, 2020","","1.3","","99.2","","57.9","","62.9","","253.7","","55.7",""
"Population per square mile, 2010","","1.2","","94.4","","56.0","","56.3","","239.1","","48.5",""
"Land area in square miles, 2020","","571,022.38","","50,647.13","","51,992.85","","113,653.42","","155,858.33","","103,637.06",""
"Land area in square miles, 2010","","570,640.95","","50,645.33","","52,035.48","","113,594.08","","155,779.22","","103,641.89",""
"FIPS Code","","""02""","","""01""","","""05""","","""04""","","""06""","","""08""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
