"Fact","Fact Note","Connecticut","Value Note for Connecticut","District of Columbia","Value Note for District of Columbia","Delaware","Value Note for Delaware","Florida","Value Note for Florida","Georgia","Value Note for Georgia","Hawaii","Value Note for Hawaii"
"Population estimates, July 1, 2023, (V2023)","","3,617,176","","678,972","","1,031,890","","22,610,726","","11,029,227","","1,435,138",""
"Population estimates base, April 1, 2020, (V2023)","","3,605,912","","689,548","","989,946","","21,538,216","","10,713,771","","1,455,274",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.3%","","-1.5%","","4.2%","","5.0%","","2.9%","","-1.4%",""
"Population, Census, April 1, 2020","","3,605,944","","689,545","","989,948","","21,538,187","","10,711,908","","1,455,271",""
"Population, Census, April 1, 2010","","3,574,097","","601,723","","897,934","","18,801,310","","9,687,653","","1,360,301",""
"Persons under 5 years, percent","","5.0%","","5.7%","","5.3%","","5.0%","","5.8%","","5.4%",""
"Persons under 18 years, percent","","20.0%","","18.6%","","20.5%","","19.4%","","23.0%","","20.5%",""
"Persons 65 years and over, percent","","19.1%","","13.1%","","21.3%","","21.7%","","15.4%","","21.1%",""
"Female persons, percent","","51.0%","","52.6%","","51.6%","","50.9%","","51.3%","","49.8%",""
"White alone, percent","","78.0%","","46.6%","","67.6%","","76.7%","","58.7%","","25.2%",""
"Black or African American alone, percent","(a)","13.1%","","44.4%","","24.1%","","16.9%","","33.2%","","2.2%",""
"American Indian and Alaska Native alone, percent","(a)","0.8%","","0.7%","","0.7%","","0.6%","","0.6%","","0.4%",""
"Asian alone, percent","(a)","5.2%","","4.9%","","4.4%","","3.2%","","4.9%","","37.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.2%","","0.1%","","0.1%","","0.1%","","10.3%",""
"Two or More Races, percent","","2.8%","","3.3%","","3.1%","","2.5%","","2.5%","","24.6%",""
"Hispanic or Latino, percent","(b)","18.6%","","12.0%","","11.1%","","27.4%","","11.1%","","10.1%",""
"White alone, not Hispanic or Latino, percent","","63.3%","","37.7%","","58.9%","","51.9%","","49.6%","","21.5%",""
"Veterans, 2018-2022","","146,179","","21,665","","63,088","","1,369,719","","610,515","","93,670",""
"Foreign born persons, percent, 2018-2022","","15.0%","","13.4%","","9.8%","","21.1%","","10.4%","","18.0%",""
"Housing Units, July 1, 2023, (V2023)","","1,546,032","","367,147","","471,458","","10,451,818","","4,610,567","","572,063",""
"Owner-occupied housing unit rate, 2018-2022","","66.2%","","41.4%","","72.0%","","66.9%","","65.0%","","61.8%",""
"Median value of owner-occupied housing units, 2018-2022","","$323,700","","$705,000","","$305,200","","$292,200","","$245,900","","$764,800",""
"Median selected monthly owner costs -with a mortgage, 2018-2022","","$2,326","","$2,958","","$1,729","","$1,752","","$1,640","","$2,778",""
"Median selected monthly owner costs -without a mortgage, 2018-2022","","$1,018","","$821","","$523","","$590","","$493","","$630",""
"Median gross rent, 2018-2022","","$1,374","","$1,817","","$1,286","","$1,444","","$1,221","","$1,868",""
