"Fact","Fact Note","Iowa","Value Note for Iowa","Idaho","Value Note for Idaho","Illinois","Value Note for Illinois","Indiana","Value Note for Indiana","Kansas","Value Note for Kansas","Kentucky","Value Note for Kentucky"
"Population estimates, July 1, 2023, (V2023)","","3,207,004","","1,964,726","","12,549,689","","6,862,199","","2,940,546","","4,526,154",""
"Population estimates base, April 1, 2020, (V2023)","","3,190,427","","1,839,117","","12,813,469","","6,785,442","","2,937,835","","4,506,297",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.5%","","6.8%","","-2.1%","","1.1%","","0.1%","","0.4%",""
"Population, Census, April 1, 2020","","3,190,369","","1,839,106","","12,812,508","","6,785,528","","2,937,880","","4,505,836",""
"Population, Census, April 1, 2010","","3,046,355","","1,567,582","","12,830,632","","6,483,802","","2,853,118","","4,339,367",""
"Persons under 5 years, percent","","5.8%","","5.8%","","5.3%","","5.9%","","6.0%","","5.8%",""
"Persons under 18 years, percent","","22.8%","","23.8%","","21.6%","","23.1%","","23.6%","","22.5%",""
"Persons 65 years and over, percent","","18.6%","","17.4%","","17.6%","","17.2%","","17.5%","","17.8%",""
"Female persons, percent","","49.9%","","49.7%","","50.6%","","50.4%","","49.9%","","50.4%",""
"White alone, percent","","89.6%","","92.5%","","76.0%","","83.7%","","85.9%","","86.7%",""
"Black or African American alone, percent","(a)","4.5%","","1.0%","","14.6%","","10.4%","","6.2%","","8.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.6%","","1.7%","","0.6%","","0.5%","","1.3%","","0.3%",""
"Asian alone, percent","(a)","2.7%","","1.7%","","6.3%","","2.9%","","3.2%","","1.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%","","0.2%","","0.1%","","0.1%","","0.2%","","0.1%",""
"Two or More Races, percent","","2.2%","","2.8%","","2.3%","","2.5%","","3.3%","","2.3%",""
"Hispanic or Latino, percent","(b)","7.4%","","13.8%","","19.0%","","8.8%","","13.7%","","5.0%",""
"White alone, not Hispanic or Latino, percent","","83.1%","","80.3%","","58.8%","","76.0%","","73.7%","","82.4%",""
"Veterans, 2018-2022","","171,836","","119,733","","518,426","","352,716","","163,472","","244,703",""
"Foreign born persons, percent, 2018-2022","","5.6%","","5.7%","","14.1%","","5.6%","","7.1%","","4.1%",""
"Housing Units, July 1, 2023, (V2023)","","1,449,340","","815,293","","5,471,027","","3,002,605","","1,300,712","","2,036,728",""
"Owner-occupied housing unit rate, 2018-2022","","71.5%","","72.0%","","66.7%","","70.1%","","66.9%","","68.1%",""
"Median value of owner-occupied housing units, 2018-2022","","$181,600","","$331,600","","$239,100","","$183,600","","$189,300","","$177,000",""
"Median selected monthly owner costs -with a mortgage, 2018-2022","","$1,444","","$1,520","","$1,903","","$1,301","","$1,580","","$1,344",""
"Median selected monthly owner costs -without a mortgage, 2018-2022","","$572","","$449","","$737","","$477","","$592","","$440",""
"Median gross rent, 2018-2022","","$914","","$1,061","","$1,179","","$967","","$986","","$902",""
"Building Permits, 2023","","11,230","","17,919","","16,863","","27,055","","9,504","","15,415",""
"Households, 2018-2022","","1,290,139","","675,323","","4,968,761","","2,653,596","","1,148,635","","1,769,102",""
"Persons per household, 2018-2022","","2.40","","2.67","","2.51","","2.49","","2.48","","2.48",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2018-2022","","86.3%","","83.8%","","88.2%","","86.3%","","84.4%","","86.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2018-2022","","8.7%","","10.7%","","23.4%","","9.2%","","11.8%","","5.9%",""
"Households with a computer, percent, 2018-2022","","92.7%","","95.2%","","93.5%","","92.7%","","94.2%","","91.6%",""
"Households with a broadband Internet subscription, percent, 2018-2022","","86.3%","","89.8%","","88.1%","","86.7%","","87.9%","","85.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2018-2022","","93.0%","","91.4%","","90.1%","","90.0%","","91.8%","","88.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2018-2022","","30.3%","","30.2%","","36.7%","","28.2%","","34.7%","","26.5%",""
"With a disability, under age 65 years, percent, 2018-2022","","8.4%","","9.7%","","7.7%","","9.9%","","9.6%","","13.3%",""
"Persons without health insurance, under age 65 years, percent","","5.4%","","9.7%","","7.7%","","8.3%","","10.3%","","6.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2018-2022","","66.5%","","62.5%","","65.0%","","63.8%","","65.4%","","59.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2018-2022","","62.3%","","57.1%","","60.4%","","59.1%","","61.3%","","55.2%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","7,110,658","","3,598,148","","35,314,396","","15,249,994","","5,907,501","","9,191,213",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","22,419,847","","10,468,990","","97,626,131","","51,837,274","","21,439,699","","32,369,493",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","8,913,447","","3,057,829","","51,368,341","","20,385,955","","7,839,739","","14,378,607",""
"Total retail sales, 2017 ($1,000)","(c)","50,063,082","","24,936,131","","173,473,922","","102,106,020","","39,337,533","","64,294,266",""
"Total retail sales per capita, 2017","(c)","$15,925","","$14,500","","$13,574","","$15,326","","$13,514","","$14,430",""
"Mean travel time to work (minutes), workers age 16 years+, 2018-2022","","19.6","","21.4","","28.4","","24.0","","19.7","","23.9",""
"Median household income (in 2022 dollars), 2018-2022","","$70,571","","$70,214","","$78,433","","$67,173","","$69,747","","$60,183",""
"Per capita income in past 12 months (in 2022 dollars), 2018-2022","","$37,949","","$34,919","","$43,198","","$35,578","","$38,108","","$33,515",""
"Persons in poverty, percent","","11.0%","","10.7%","","11.9%","","12.6%","","12.0%","","16.5%",""
"Total employer establishments, 2022","","83,560","","57,209","","322,349","","153,748","","75,991","","93,549",""
"Total employment, 2022","","1,386,299","","689,589","","5,533,883","","2,875,908","","1,225,232","","1,667,694",""
"Total annual payroll, 2022 ($1,000)","","74,805,280","","36,567,889","","383,875,437","","158,017,872","","67,832,396","","86,111,636",""
"Total employment, percent change, 2021-2022","","2.5%","","6.9%","","5.0%","","4.4%","","3.1%","","3.1%",""
"Total nonemployer establishments, 2021","","220,690","","154,970","","1,062,853","","460,720","","210,943","","314,953",""
"All employer firms, Reference year 2017","","61,849","","38,479","","247,995","","102,435","","56,107","","63,839",""
"Men-owned employer firms, Reference year 2017","","35,303","","19,920","","154,799","","61,140","","30,724","","37,716",""
"Women-owned employer firms, Reference year 2017","","9,377","","5,706","","48,832","","17,721","","9,408","","11,435",""
"Minority-owned employer firms, Reference year 2017","","2,395","","2,023","","39,363","","7,979","","4,124","","4,581",""
"Nonminority-owned employer firms, Reference year 2017","","53,664","","33,035","","191,216","","85,873","","46,173","","53,689",""
"Veteran-owned employer firms, Reference year 2017","","3,965","","2,158","","12,166","","6,326","","3,683","","4,074",""
"Nonveteran-owned employer firms, Reference year 2017","","50,337","","31,639","","215,646","","85,314","","45,403","","52,806",""
"Population per square mile, 2020","","57.1","","22.3","","230.8","","189.4","","35.9","","114.1",""
"Population per square mile, 2010","","54.5","","19.0","","231.1","","181.0","","34.9","","109.9",""
"Land area in square miles, 2020","","55,853.42","","82,645.14","","55,513.18","","35,826.03","","81,758.59","","39,491.61",""
"Land area in square miles, 2010","","55,857.13","","82,643.12","","55,518.93","","35,826.11","","81,758.72","","39,486.34",""
"FIPS Code","","""19""","","""16""","","""17""","","""18""","","""20""","","""21""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
