"Fact","Fact Note","Missouri","Value Note for Missouri","Mississippi","Value Note for Mississippi","Montana","Value Note for Montana","North Carolina","Value Note for North Carolina","North Dakota","Value Note for North Dakota","Nebraska","Value Note for Nebraska"
"Population estimates, July 1, 2023, (V2023)","","6,196,156","","2,939,690","","1,132,812","","10,835,491","","783,926","","1,978,379",""
"Population estimates base, April 1, 2020, (V2023)","","6,154,889","","2,961,306","","1,084,244","","10,439,459","","779,079","","1,961,965",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.7%","","-0.7%","","4.5%","","3.8%","","0.6%","","0.8%",""
"Population, Census, April 1, 2020","","6,154,913","","2,961,279","","1,084,225","","10,439,388","","779,094","","1,961,504",""
"Population, Census, April 1, 2010","","5,988,927","","2,967,297","","989,415","","9,535,483","","672,591","","1,826,341",""
"Persons under 5 years, percent","","5.7%","","5.9%","","5.1%","","5.6%","","6.3%","","6.3%",""
"Persons under 18 years, percent","","22.2%","","23.1%","","20.8%","","21.6%","","23.6%","","24.3%",""
"Persons 65 years and over, percent","","18.3%","","17.6%","","20.5%","","17.6%","","17.0%","","17.2%",""
"Female persons, percent","","50.7%","","51.5%","","49.3%","","51.1%","","48.7%","","49.7%",""
"White alone, percent","","82.4%","","58.7%","","88.7%","","69.8%","","86.4%","","87.3%",""
"Black or African American alone, percent","(a)","11.7%","","37.8%","","0.6%","","22.1%","","3.8%","","5.5%",""
"American Indian and Alaska Native alone, percent","(a)","0.6%","","0.7%","","6.4%","","1.6%","","5.3%","","1.7%",""
"Asian alone, percent","(a)","2.3%","","1.2%","","1.1%","","3.7%","","1.7%","","2.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%","","0.1%","","0.1%","","0.2%","","0.2%","","0.1%",""
"Two or More Races, percent","","2.7%","","1.5%","","3.1%","","2.7%","","2.6%","","2.6%",""
"Hispanic or Latino, percent","(b)","5.3%","","3.9%","","4.7%","","11.4%","","4.9%","","12.9%",""
"White alone, not Hispanic or Latino, percent","","77.9%","","55.6%","","85.1%","","60.7%","","82.6%","","76.2%",""
"Veterans, 2018-2022","","361,097","","155,583","","82,367","","632,989","","43,674","","109,982",""
"Foreign born persons, percent, 2018-2022","","4.2%","","2.3%","","2.3%","","8.3%","","4.6%","","7.5%",""
"Housing Units, July 1, 2023, (V2023)","","2,844,346","","1,350,642","","535,500","","4,979,204","","380,841","","873,672",""
"Owner-occupied housing unit rate, 2018-2022","","67.6%","","69.2%","","69.0%","","66.2%","","63.2%","","66.5%",""
"Median value of owner-occupied housing units, 2018-2022","","$199,400","","$151,000","","$305,700","","$234,900","","$232,500","","$205,600",""
"Median selected monthly owner costs -with a mortgage, 2018-2022","","$1,436","","$1,311","","$1,660","","$1,496","","$1,653","","$1,612",""
"Median selected monthly owner costs -without a mortgage, 2018-2022","","$508","","$400","","$519","","$457","","$551","","$616",""
"Median gross rent, 2018-2022","","$957","","$896","","$974","","$1,093","","$912","","$987",""
"Building Permits, 2023","","16,781","","7,700","","4,307","1","98,853","","2,618","","8,877",""
"Households, 2018-2022","","2,458,324","","1,121,269","","443,917","","4,105,232","","320,038","","776,379",""
"Persons per household, 2018-2022","","2.44","","2.55","","2.39","","2.48","","2.34","","2.46",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2018-2022","","86.4%","","88.3%","","85.2%","","86.2%","","83.3%","","85.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2018-2022","","6.3%","","4.0%","","4.1%","","12.3%","","6.7%","","11.8%",""
"Households with a computer, percent, 2018-2022","","93.0%","","90.0%","","92.9%","","93.1%","","93.2%","","93.7%",""
"Households with a broadband Internet subscription, percent, 2018-2022","","86.6%","","80.0%","","86.6%","","87.0%","","85.8%","","88.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2018-2022","","91.3%","","86.2%","","94.5%","","89.4%","","93.5%","","91.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2018-2022","","31.2%","","23.9%","","34.0%","","33.9%","","31.4%","","33.5%",""
"With a disability, under age 65 years, percent, 2018-2022","","10.3%","","12.6%","","9.6%","","9.3%","","7.7%","","8.1%",""
"Persons without health insurance, under age 65 years, percent","","10.3%","","13.1%","","10.2%","","11.1%","","7.5%","","7.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2018-2022","","62.5%","","56.7%","","62.6%","","61.4%","","68.0%","","68.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2018-2022","","58.7%","","53.6%","","59.2%","","57.4%","","64.0%","","64.1%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","15,082,366","","8,181,285","","3,126,035","","24,912,995","","2,117,994","","3,957,818",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","48,192,464","","18,752,296","","8,447,922","","72,732,275","","7,297,845","","16,060,437",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","15,071,280","","5,564,028","","2,151,726","","16,823,524","","4,367,087","","7,483,576",""
"Total retail sales, 2017 ($1,000)","(c)","100,393,968","","36,920,630","","16,935,827","","141,134,258","","19,251,127","","31,214,697",""
"Total retail sales per capita, 2017","(c)","$16,427","","$12,345","","$16,070","","$13,735","","$25,439","","$16,283",""
