"Fact","Fact Note","Oklahoma","Value Note for Oklahoma","Oregon","Value Note for Oregon","Pennsylvania","Value Note for Pennsylvania","Rhode Island","Value Note for Rhode Island","South Carolina","Value Note for South Carolina","South Dakota","Value Note for South Dakota"
"Population estimates, July 1, 2023, (V2023)","","4,053,824","","4,233,358","","12,961,683","","1,095,962","","5,373,555","","919,318",""
"Population estimates base, April 1, 2020, (V2023)","","3,959,411","","4,237,279","","13,002,788","","1,097,371","","5,118,422","","886,668",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.4%","","-0.1%","","-0.3%","","-0.1%","","5.0%","","3.7%",""
"Population, Census, April 1, 2020","","3,959,353","","4,237,256","","13,002,700","","1,097,379","","5,118,425","","886,667",""
"Population, Census, April 1, 2010","","3,751,351","","3,831,074","","12,702,379","","1,052,567","","4,625,364","","814,180",""
"Persons under 5 years, percent","","6.0%","","4.8%","","5.1%","","4.8%","","5.4%","","6.3%",""
"Persons under 18 years, percent","","23.8%","","19.6%","","20.3%","","18.6%","","21.3%","","24.1%",""
"Persons 65 years and over, percent","","16.6%","","19.6%","","20.0%","","19.3%","","19.3%","","18.4%",""
"Female persons, percent","","50.3%","","50.2%","","50.7%","","51.0%","","51.4%","","49.2%",""
"White alone, percent","","72.9%","","85.6%","","80.6%","","82.4%","","69.0%","","84.2%",""
"Black or African American alone, percent","(a)","7.9%","","2.4%","","12.3%","","9.3%","","26.0%","","2.6%",""
"American Indian and Alaska Native alone, percent","(a)","9.5%","","1.9%","","0.5%","","1.3%","","0.6%","","8.5%",""
"Asian alone, percent","(a)","2.6%","","5.2%","","4.2%","","3.7%","","2.0%","","1.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%","","0.5%","","0.1%","","0.2%","","0.1%","","0.1%",""
"Two or More Races, percent","","6.8%","","4.4%","","2.4%","","3.1%","","2.3%","","2.8%",""
"Hispanic or Latino, percent","(b)","12.9%","","14.9%","","8.9%","","18.0%","","7.5%","","5.1%",""
"White alone, not Hispanic or Latino, percent","","62.6%","","72.8%","","74.1%","","69.2%","","62.9%","","80.5%",""
"Veterans, 2018-2022","","254,405","","261,322","","680,824","","50,470","","349,900","","54,488",""
"Foreign born persons, percent, 2018-2022","","6.1%","","9.8%","","7.3%","","14.4%","","5.3%","","3.8%",""
"Housing Units, July 1, 2023, (V2023)","","1,788,972","","1,879,586","","5,839,963","","487,132","","2,490,344","","417,220",""
