"Fact","Fact Note","Tennessee","Value Note for Tennessee","Texas","Value Note for Texas","Utah","Value Note for Utah","Virginia","Value Note for Virginia","Vermont","Value Note for Vermont","Washington","Value Note for Washington"
"Population estimates, July 1, 2023, (V2023)","","7,126,489","","30,503,301","","3,417,734","","8,715,698","","647,464","","7,812,880",""
"Population estimates base, April 1, 2020, (V2023)","","6,910,786","","29,145,459","","3,271,614","","8,631,373","","643,077","","7,705,267",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.1%","","4.7%","","4.5%","","1.0%","","0.7%","","1.4%",""
"Population, Census, April 1, 2020","","6,910,840","","29,145,505","","3,271,616","","8,631,393","","643,077","","7,705,281",""
"Population, Census, April 1, 2010","","6,346,105","","25,145,561","","2,763,885","","8,001,024","","625,741","","6,724,540",""
"Persons under 5 years, percent","","5.8%","","6.3%","","6.8%","","5.6%","","4.2%","","5.4%",""
"Persons under 18 years, percent","","22.0%","","24.8%","","27.3%","","21.6%","","17.7%","","21.1%",""
"Persons 65 years and over, percent","","17.4%","","13.7%","","12.2%","","17.2%","","22.1%","","17.1%",""
"Female persons, percent","","51.0%","","50.1%","","49.3%","","50.6%","","50.4%","","49.6%",""
"White alone, percent","","78.4%","","76.8%","","89.8%","","68.3%","","93.6%","","76.3%",""
"Black or African American alone, percent","(a)","16.5%","","13.6%","","1.6%","","20.0%","","1.6%","","4.7%",""
"American Indian and Alaska Native alone, percent","(a)","0.6%","","1.1%","","1.6%","","0.6%","","0.4%","","2.0%",""
"Asian alone, percent","(a)","2.1%","","6.0%","","2.9%","","7.4%","","2.1%","","10.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.2%","","1.2%","","0.1%","","Z","","0.9%",""
"Two or More Races, percent","","2.3%","","2.3%","","3.0%","","3.5%","","2.2%","","5.4%",""
"Hispanic or Latino, percent","(b)","7.5%","","39.8%","","16.0%","","11.2%","","2.6%","","14.6%",""
"White alone, not Hispanic or Latino, percent","","72.0%","","39.6%","","75.7%","","59.1%","","91.5%","","64.2%",""
"Veterans, 2018-2022","","414,746","","1,416,973","","116,186","","654,068","","34,025","","499,332",""
"Foreign born persons, percent, 2018-2022","","5.4%","","17.1%","","8.4%","","12.6%","","4.4%","","14.9%",""
"Housing Units, July 1, 2023, (V2023)","","3,195,304","","12,395,364","","1,258,623","","3,717,677","","341,375","","3,361,615",""
"Owner-occupied housing unit rate, 2018-2022","","67.1%","","62.4%","","70.7%","","66.9%","","72.7%","","63.8%",""
"Median value of owner-occupied housing units, 2018-2022","","$232,100","","$238,000","","$408,500","","$339,800","","$272,400","","$473,400",""
"Median selected monthly owner costs -with a mortgage, 2018-2022","","$1,449","","$1,913","","$1,830","","$2,014","","$1,822","","$2,249",""
"Median selected monthly owner costs -without a mortgage, 2018-2022","","$442","","$611","","$501","","$546","","$782","","$703",""
"Median gross rent, 2018-2022","","$1,047","","$1,251","","$1,302","","$1,440","","$1,149","","$1,592",""
"Building Permits, 2023","","47,463","","232,373","","25,361","","36,096","","2,456","","37,097",""
"Households, 2018-2022","","2,713,635","","10,490,553","","1,062,819","","3,289,776","","265,858","","2,979,272",""
"Persons per household, 2018-2022","","2.50","","2.73","","3.04","","2.55","","2.33","","2.53",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2018-2022","","86.2%","","85.3%","","84.9%","","86.0%","","87.4%","","84.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2018-2022","","7.5%","","35.1%","","15.5%","","16.7%","","5.4%","","20.5%",""
"Households with a computer, percent, 2018-2022","","92.3%","","94.8%","","97.2%","","94.0%","","93.3%","","96.1%",""
"Households with a broadband Internet subscription, percent, 2018-2022","","85.7%","","88.4%","","91.9%","","88.7%","","86.1%","","92.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2018-2022","","89.3%","","85.2%","","93.2%","","91.1%","","94.2%","","92.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2018-2022","","29.7%","","32.3%","","36.1%","","41.0%","","41.7%","","38.0%",""
"With a disability, under age 65 years, percent, 2018-2022","","10.9%","","8.2%","","7.4%","","8.3%","","10.6%","","9.1%",""
"Persons without health insurance, under age 65 years, percent","","11.1%","","18.9%","","9.1%","","7.6%","","4.9%","","7.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2018-2022","","61.5%","","64.6%","","69.1%","","63.8%","","64.7%","","63.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2018-2022","","57.0%","","58.5%","","61.8%","","60.1%","","62.3%","","58.7%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","17,181,775","","74,369,383","","7,098,204","","22,074,703","","2,019,843","","21,068,612",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","52,088,750","","186,108,690","","18,708,237","","58,792,475","","5,451,626","","56,442,218",""
