"Fact","Fact Note","Wisconsin","Value Note for Wisconsin","West Virginia","Value Note for West Virginia","Wyoming","Value Note for Wyoming"
"Population estimates, July 1, 2023, (V2023)","","5,910,955","","1,770,071","","584,057",""
"Population estimates base, April 1, 2020, (V2023)","","5,893,713","","1,793,713","","576,850",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.3%","","-1.3%","","1.2%",""
"Population, Census, April 1, 2020","","5,893,718","","1,793,716","","576,851",""
"Population, Census, April 1, 2010","","5,686,986","","1,852,994","","563,626",""
"Persons under 5 years, percent","","5.3%","","4.9%","","5.3%",""
"Persons under 18 years, percent","","21.1%","","19.9%","","22.2%",""
"Persons 65 years and over, percent","","19.1%","","21.5%","","19.2%",""
"Female persons, percent","","49.9%","","50.1%","","48.8%",""
"White alone, percent","","86.4%","","92.8%","","92.3%",""
"Black or African American alone, percent","(a)","6.6%","","3.8%","","1.2%",""
"American Indian and Alaska Native alone, percent","(a)","1.2%","","0.3%","","2.8%",""
"Asian alone, percent","(a)","3.3%","","0.9%","","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","Z","","0.1%",""
"Two or More Races, percent","","2.3%","","2.1%","","2.4%",""
"Hispanic or Latino, percent","(b)","8.1%","","2.2%","","10.8%",""
"White alone, not Hispanic or Latino, percent","","79.5%","","90.9%","","83.1%",""
"Veterans, 2018-2022","","308,486","","114,894","","42,651",""
"Foreign born persons, percent, 2018-2022","","5.0%","","1.6%","","3.4%",""
"Housing Units, July 1, 2023, (V2023)","","2,787,556","","863,745","","280,121",""
"Owner-occupied housing unit rate, 2018-2022","","67.7%","","74.2%","","71.9%",""
"Median value of owner-occupied housing units, 2018-2022","","$231,400","","$145,800","","$269,900",""
"Median selected monthly owner costs -with a mortgage, 2018-2022","","$1,602","","$1,180","","$1,642",""
"Median selected monthly owner costs -without a mortgage, 2018-2022","","$624","","$371","","$489",""
"Median gross rent, 2018-2022","","$992","","$831","","$933",""
"Building Permits, 2023","","21,494","","4,014","","1,681",""
"Households, 2018-2022","","2,425,488","","716,040","","234,156",""
"Persons per household, 2018-2022","","2.37","","2.43","","2.41",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2018-2022","","87.2%","","88.9%","","83.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2018-2022","","8.7%","","2.5%","","6.8%",""
"Households with a computer, percent, 2018-2022","","92.9%","","88.8%","","94.5%",""
"Households with a broadband Internet subscription, percent, 2018-2022","","87.7%","","82.7%","","88.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2018-2022","","93.1%","","88.4%","","93.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2018-2022","","32.0%","","22.7%","","29.0%",""
"With a disability, under age 65 years, percent, 2018-2022","","8.2%","","13.8%","","9.2%",""
"Persons without health insurance, under age 65 years, percent","","6.3%","","7.4%","","14.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2018-2022","","65.6%","","53.1%","","65.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2018-2022","","62.0%","","49.3%","","60.2%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","13,496,307","","4,069,148","","1,945,976",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","48,477,876","","15,236,903","","3,871,871",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","15,551,340","","3,068,787","","2,130,700",""
"Total retail sales, 2017 ($1,000)","(c)","91,763,765","","23,057,778","","9,124,374",""
"Total retail sales per capita, 2017","(c)","$15,840","","$12,678","","$15,732",""
"Mean travel time to work (minutes), workers age 16 years+, 2018-2022","","22.2","","26.3","","18.0",""
"Median household income (in 2022 dollars), 2018-2022","","$72,458","","$55,217","","$72,495",""
