,time,temperature,humidity,wind_speed,pressure
0,2018-01-01T00:00,-17.4,60,15.3,1020.9
1,2018-01-01T01:00,-18.1,61,14.8,1021.1
2,2018-01-01T02:00,-18.6,62,13.8,1021.5
3,2018-01-01T03:00,-19.1,62,13.5,1021.5
4,2018-01-01T04:00,-19.4,61,14.1,1021.2
5,2018-01-01T05:00,-19.6,61,14.6,1021.3
6,2018-01-01T06:00,-19.7,61,15.3,1021.4
7,2018-01-01T07:00,-19.1,60,15.9,1021.3
8,2018-01-01T08:00,-18.2,56,14.2,1021.7
9,2018-01-01T09:00,-16.8,48,16.4,1021.9
10,2018-01-01T10:00,-15.3,42,16.6,1022.1
11,2018-01-01T11:00,-13.8,38,16.1,1021.8
12,2018-01-01T12:00,-12.5,35,16.5,1020.9
13,2018-01-01T13:00,-11.5,33,17.3,1020.4
14,2018-01-01T14:00,-11.2,33,17.5,1020.5
15,2018-01-01T15:00,-11.5,34,17.3,1020.8
16,2018-01-01T16:00,-12.2,38,15.5,1021.3
17,2018-01-01T17:00,-13.4,44,16.1,1022.0
18,2018-01-01T18:00,-14.4,48,15.3,1022.6
19,2018-01-01T19:00,-14.9,54,13.2,1022.9
20,2018-01-01T20:00,-15.1,56,13.3,1022.9
21,2018-01-01T21:00,-15.3,57,12.2,1023.1
22,2018-01-01T22:00,-15.2,55,11.4,1022.9
23,2018-01-01T23:00,-15.3,55,10.5,1022.6
24,2018-01-02T00:00,-15.5,56,9.4,1022.1
25,2018-01-02T01:00,-15.6,56,10.5,1021.5
26,2018-01-02T02:00,-15.5,56,11.1,1021.6
27,2018-01-02T03:00,-15.3,56,12.3,1021.3
28,2018-01-02T04:00,-15.2,59,14.4,1021.2
29,2018-01-02T05:00,-14.9,62,16.9,1021.4
30,2018-01-02T06:00,-14.6,64,15.8,1021.9
31,2018-01-02T07:00,-15.2,68,12.6,1023.2
32,2018-01-02T08:00,-14.8,66,12.9,1024.1
33,2018-01-02T09:00,-13.6,57,12.9,1024.4
34,2018-01-02T10:00,-12.3,46,13.6,1024.4
35,2018-01-02T11:00,-11.2,39,13.8,1024.0
36,2018-01-02T12:00,-10.0,35,13.7,1022.4
37,2018-01-02T13:00,-9.1,34,14.8,1021.8
38,2018-01-02T14:00,-8.5,38,14.4,1021.6
39,2018-01-02T15:00,-8.1,42,13.0,1021.4
40,2018-01-02T16:00,-8.5,49,10.1,1021.3
41,2018-01-02T17:00,-9.3,56,11.5,1021.4
42,2018-01-02T18:00,-9.4,56,11.7,1021.3
43,2018-01-02T19:00,-9.8,55,12.8,1021.6
44,2018-01-02T20:00,-9.4,56,14.8,1021.5
45,2018-01-02T21:00,-9.2,59,15.9,1021.3
46,2018-01-02T22:00,-9.0,61,15.6,1021.2
47,2018-01-02T23:00,-9.3,64,15.3,1021.4
48,2018-01-03T00:00,-9.6,65,15.6,1021.4
49,2018-01-03T01:00,-10.0,66,15.3,1021.7
50,2018-01-03T02:00,-10.4,68,14.1,1021.9
51,2018-01-03T03:00,-10.8,69,13.3,1022.0
52,2018-01-03T04:00,-11.1,69,12.0,1021.8
53,2018-01-03T05:00,-11.2,67,10.8,1021.9
54,2018-01-03T06:00,-11.4,66,11.2,1022.6
55,2018-01-03T07:00,-12.1,69,7.7,1023.1
56,2018-01-03T08:00,-10.9,62,7.6,1023.1
57,2018-01-03T09:00,-9.1,54,5.7,1023.3
58,2018-01-03T10:00,-6.5,45,6.3,1023.6
59,2018-01-03T11:00,-4.1,37,9.0,1022.8
60,2018-01-03T12:00,-2.8,31,10.5,1021.6
61,2018-01-03T13:00,-1.6,27,11.6,1020.9
62,2018-01-03T14:00,-1.0,23,12.6,1020.4
63,2018-01-03T15:00,-1.2,26,12.2,1020.2
64,2018-01-03T16:00,-3.0,39,9.4,1019.5
65,2018-01-03T17:00,-5.1,57,12.6,1019.2
66,2018-01-03T18:00,-5.5,62,12.7,1019.5
67,2018-01-03T19:00,-6.7,69,10.9,1019.4
68,2018-01-03T20:00,-6.7,68,9.8,1019.4
69,2018-01-03T21:00,-7.0,68,10.9,1018.6
70,2018-01-03T22:00,-7.1,69,7.3,1018.2
71,2018-01-03T23:00,-6.1,64,0.8,1016.8
72,2018-01-04T00:00,-6.8,67,2.2,1016.0
73,2018-01-04T01:00,-6.6,68,9.5,1014.0
74,2018-01-04T02:00,-6.2,65,10.8,1012.7
75,2018-01-04T03:00,-6.1,67,13.7,1011.0
76,2018-01-04T04:00,-5.9,69,16.3,1010.0
77,2018-01-04T05:00,-6.0,76,21.1,1007.1
78,2018-01-04T06:00,-5.4,85,23.0,1003.8
79,2018-01-04T07:00,-4.7,86,23.0,1000.9
80,2018-01-04T08:00,-3.6,88,25.9,998.3
81,2018-01-04T09:00,-3.4,87,29.5,996.0
82,2018-01-04T10:00,-3.3,90,29.2,992.5
83,2018-01-04T11:00,-3.1,90,30.0,987.5
84,2018-01-04T12:00,-4.0,90,31.5,983.4
85,2018-01-04T13:00,-2.0,88,41.1,978.7
86,2018-01-04T14:00,-1.2,86,41.0,975.9
87,2018-01-04T15:00,-1.0,86,37.6,974.7
88,2018-01-04T16:00,-0.7,86,35.7,974.0
89,2018-01-04T17:00,-2.0,83,35.8,973.9
90,2018-01-04T18:00,-2.6,79,34.5,975.0
91,2018-01-04T19:00,-2.1,72,32.4,977.1
92,2018-01-04T20:00,-3.0,67,32.1,979.1
93,2018-01-04T21:00,-3.9,63,33.1,981.1
94,2018-01-04T22:00,-5.0,62,32.1,983.0
95,2018-01-04T23:00,-5.7,60,29.7,985.1
96,2018-01-05T00:00,-5.8,60,26.9,986.3
97,2018-01-05T01:00,-6.3,61,23.7,987.3
98,2018-01-05T02:00,-6.8,62,20.6,988.9
99,2018-01-05T03:00,-7.4,63,19.8,989.3
100,2018-01-05T04:00,-8.3,65,21.0,990.2
101,2018-01-05T05:00,-9.5,66,23.1,991.2
102,2018-01-05T06:00,-10.7,65,24.5,992.5
103,2018-01-05T07:00,-10.3,64,25.7,993.5
104,2018-01-05T08:00,-11.9,63,25.4,994.2
105,2018-01-05T09:00,-12.8,60,26.3,995.2
106,2018-01-05T10:00,-12.7,55,27.1,995.8
107,2018-01-05T11:00,-12.4,50,26.8,996.4
108,2018-01-05T12:00,-12.2,48,26.4,996.6
109,2018-01-05T13:00,-12.2,47,27.1,997.3
110,2018-01-05T14:00,-12.4,46,27.1,998.3
111,2018-01-05T15:00,-12.9,46,26.4,999.5
112,2018-01-05T16:00,-13.9,51,26.4,1000.7
113,2018-01-05T17:00,-14.9,52,26.8,1001.7
