field	baseline_enumeration	enumeration_description
in.ahs_region	CBSA Atlanta-Sandy Springs-Roswell, GA	American Housing Survey region Atlanta-Sandy Springs-Roswell, GA
in.ahs_region	CBSA Boston-Cambridge-Newton, MA-NH	American Housing Survey region Boston-Cambridge-Newton, MA-NH
in.ahs_region	CBSA Chicago-Naperville-Elgin, IL-IN-WI	American Housing Survey region Chicago-Naperville-Elgin, IL-IN-WI
in.ahs_region	CBSA Dallas-Fort Worth-Arlington, TX	American Housing Survey region Dallas-Fort Worth-Arlington, TX
in.ahs_region	CBSA Detroit-Warren-Dearborn, MI	American Housing Survey region Detroit-Warren-Dearborn, MI
in.ahs_region	CBSA Houston-The Woodlands-Sugar Land, TX	American Housing Survey region Houston-The Woodlands-Sugar Land, TX
in.ahs_region	CBSA Los Angeles-Long Beach-Anaheim, CA	American Housing Survey region Los Angeles-Long Beach-Anaheim, CA
in.ahs_region	CBSA Miami-Fort Lauderdale-West Palm Beach, FL	American Housing Survey region Miami-Fort Lauderdale-West Palm Beach, FL
in.ahs_region	CBSA New York-Newark-Jersey City, NY-NJ-PA	American Housing Survey region New York-Newark-Jersey City, NY-NJ-PA
in.ahs_region	CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	American Housing Survey region Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
in.ahs_region	CBSA Phoenix-Mesa-Scottsdale, AZ	American Housing Survey region Phoenix-Mesa-Scottsdale, AZ
in.ahs_region	CBSA Riverside-San Bernardino-Ontario, CA	American Housing Survey region Riverside-San Bernardino-Ontario, CA
in.ahs_region	CBSA San Francisco-Oakland-Hayward, CA	American Housing Survey region San Francisco-Oakland-Hayward, CA
in.ahs_region	CBSA Seattle-Tacoma-Bellevue, WA	American Housing Survey region Seattle-Tacoma-Bellevue, WA
in.ahs_region	CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV	American Housing Survey region Washington-Arlington-Alexandria, DC-VA-MD-WV
in.ahs_region	Non-CBSA East North Central	American Housing Survey region East North Central
in.ahs_region	Non-CBSA East South Central	American Housing Survey region East South Central
in.ahs_region	Non-CBSA Middle Atlantic	American Housing Survey region Middle Atlantic
in.ahs_region	Non-CBSA Mountain	American Housing Survey region Mountain
